Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
602,5,2015-07-31,7701,635,1,1,0,1
622,5,2015-07-31,6306,540,1,1,0,1
662,5,2015-07-31,10711,858,1,1,0,1
678,5,2015-07-31,11960,1024,1,1,0,1
701,5,2015-07-31,8547,755,1,1,0,0
728,5,2015-07-31,6996,542,1,1,0,1
742,5,2015-07-31,10460,1016,1,1,0,1
756,5,2015-07-31,25280,2901,1,1,0,1
766,5,2015-07-31,8537,655,1,1,0,0
782,5,2015-07-31,7357,630,1,1,0,1
783,5,2015-07-31,9281,791,1,1,0,1
793,5,2015-07-31,6349,567,1,1,0,1
799,5,2015-07-31,13665,1017,1,1,0,1
811,5,2015-07-31,5235,768,1,1,0,1
812,5,2015-07-31,7915,850,1,1,0,1
815,5,2015-07-31,8186,729,1,1,0,0
823,5,2015-07-31,7924,650,1,1,0,1
825,5,2015-07-31,6003,596,1,1,0,0
831,5,2015-07-31,15152,1703,1,1,0,1
843,5,2015-07-31,12775,1191,1,1,0,1
845,5,2015-07-31,5151,378,1,1,0,1
849,5,2015-07-31,10829,1049,1,1,0,1
875,5,2015-07-31,6555,511,1,1,0,1
881,5,2015-07-31,7396,844,1,1,0,1
895,5,2015-07-31,12182,1012,1,1,0,1
897,5,2015-07-31,4691,464,1,1,0,1
903,5,2015-07-31,13911,906,1,1,0,0
904,5,2015-07-31,7901,606,1,1,0,0
936,5,2015-07-31,6717,854,1,1,0,1
951,5,2015-07-31,10427,847,1,1,0,1
963,5,2015-07-31,13492,1144,1,1,0,1
973,5,2015-07-31,10156,1043,1,1,0,1
983,5,2015-07-31,11368,1250,1,1,0,1
984,5,2015-07-31,7444,810,1,1,0,1
988,5,2015-07-31,5494,724,1,1,0,1
993,5,2015-07-31,10205,894,1,1,0,1
1020,5,2015-07-31,10734,1138,1,1,0,1
1029,5,2015-07-31,5951,753,1,1,0,1
1041,5,2015-07-31,7213,661,1,1,0,0
1046,5,2015-07-31,12558,909,1,1,0,1
1067,5,2015-07-31,6789,580,1,1,0,0
1070,5,2015-07-31,9442,995,1,1,0,1
1088,5,2015-07-31,6800,552,1,1,0,1
1097,5,2015-07-31,11443,2451,1,1,0,1
1109,5,2015-07-31,5263,515,1,1,0,0
11,4,2015-07-30,7361,874,1,1,0,1
32,4,2015-07-30,5779,617,1,1,0,0
45,4,2015-07-30,6063,445,1,1,0,1
52,4,2015-07-30,7024,453,1,1,0,0
57,4,2015-07-30,9820,872,1,1,0,1
71,4,2015-07-30,10090,761,1,1,0,1
87,4,2015-07-30,6310,748,1,1,0,1
89,4,2015-07-30,6433,683,1,1,0,0
97,4,2015-07-30,7695,713,1,1,0,1
102,4,2015-07-30,7241,949,1,1,0,1
110,4,2015-07-30,5680,660,1,1,0,1
114,4,2015-07-30,5272,579,1,1,0,1
129,4,2015-07-30,9903,1242,1,1,0,0
193,4,2015-07-30,6288,828,1,1,0,1
209,4,2015-07-30,8144,762,1,1,0,1
211,4,2015-07-30,14477,1452,1,1,0,1
219,4,2015-07-30,3796,417,1,1,0,1
221,4,2015-07-30,6865,555,1,1,0,1
232,4,2015-07-30,4591,373,1,1,0,1
266,4,2015-07-30,4602,535,1,1,0,1
275,4,2015-07-30,6903,657,1,1,0,0
276,4,2015-07-30,4283,539,1,1,0,1
290,4,2015-07-30,7395,651,1,1,0,1
293,4,2015-07-30,6748,837,1,1,0,1
297,4,2015-07-30,8318,808,1,1,0,1
307,4,2015-07-30,3632,373,1,1,0,1
319,4,2015-07-30,7955,764,1,1,0,1
320,4,2015-07-30,16912,2071,1,1,0,1
324,4,2015-07-30,7724,865,1,1,0,1
333,4,2015-07-30,11634,1332,1,1,0,1
347,4,2015-07-30,5716,431,1,1,0,1
355,4,2015-07-30,9842,1054,1,1,0,1
356,4,2015-07-30,7495,514,1,1,0,1
362,4,2015-07-30,10216,1169,1,1,0,1
366,4,2015-07-30,8215,697,1,1,0,1
368,4,2015-07-30,12314,812,1,1,0,1
372,4,2015-07-30,9867,738,1,1,0,1
381,4,2015-07-30,10231,966,1,1,0,1
382,4,2015-07-30,9028,707,1,1,0,1
399,4,2015-07-30,6960,625,1,1,0,0
429,4,2015-07-30,6145,461,1,1,0,0
436,4,2015-07-30,6333,648,1,1,0,1
452,4,2015-07-30,6254,538,1,1,0,1
468,4,2015-07-30,9458,912,1,1,0,1
478,4,2015-07-30,7985,694,1,1,0,1
495,4,2015-07-30,6671,441,1,1,0,1
526,4,2015-07-30,13164,1550,1,1,0,1
529,4,2015-07-30,8731,762,1,1,0,1
530,4,2015-07-30,8020,1316,1,1,0,1
540,4,2015-07-30,8241,531,1,1,0,0
546,4,2015-07-30,14553,1599,1,1,0,1
582,4,2015-07-30,7535,860,1,1,0,1
594,4,2015-07-30,4451,461,1,1,0,1
595,4,2015-07-30,14978,1597,1,1,0,1
597,4,2015-07-30,6221,828,1,1,0,1
602,4,2015-07-30,7007,627,1,1,0,1
622,4,2015-07-30,5412,406,1,1,0,1
662,4,2015-07-30,8656,729,1,1,0,1
678,4,2015-07-30,8617,792,1,1,0,1
701,4,2015-07-30,7622,693,1,1,0,0
728,4,2015-07-30,6323,488,1,1,0,1
742,4,2015-07-30,9353,894,1,1,0,1
756,4,2015-07-30,18741,2292,1,1,0,1
766,4,2015-07-30,7123,604,1,1,0,0
782,4,2015-07-30,6001,502,1,1,0,1
783,4,2015-07-30,7736,652,1,1,0,1
793,4,2015-07-30,5061,461,1,1,0,1
799,4,2015-07-30,9444,851,1,1,0,1
811,4,2015-07-30,4406,679,1,1,0,1
812,4,2015-07-30,6650,786,1,1,0,1
815,4,2015-07-30,7983,666,1,1,0,0
823,4,2015-07-30,6410,567,1,1,0,1
825,4,2015-07-30,5769,641,1,1,0,0
831,4,2015-07-30,13681,1579,1,1,0,1
843,4,2015-07-30,9326,1000,1,1,0,1
845,4,2015-07-30,5090,343,1,1,0,1
849,4,2015-07-30,9459,903,1,1,0,1
875,4,2015-07-30,5690,432,1,1,0,1
881,4,2015-07-30,5571,625,1,1,0,1
895,4,2015-07-30,12002,1012,1,1,0,1
897,4,2015-07-30,3833,343,1,1,0,1
903,4,2015-07-30,13759,923,1,1,0,0
904,4,2015-07-30,7178,555,1,1,0,0
936,4,2015-07-30,7361,884,1,1,0,1
951,4,2015-07-30,8117,672,1,1,0,1
963,4,2015-07-30,14728,1250,1,1,0,1
973,4,2015-07-30,7032,776,1,1,0,1
983,4,2015-07-30,8991,1124,1,1,0,1
984,4,2015-07-30,7767,789,1,1,0,1
988,4,2015-07-30,4591,673,1,1,0,1
993,4,2015-07-30,9095,767,1,1,0,1
1020,4,2015-07-30,8020,943,1,1,0,1
1029,4,2015-07-30,5735,759,1,1,0,1
1041,4,2015-07-30,6868,700,1,1,0,0
1046,4,2015-07-30,12353,839,1,1,0,1
1067,4,2015-07-30,6979,536,1,1,0,0
1070,4,2015-07-30,8867,908,1,1,0,1
1088,4,2015-07-30,5424,498,1,1,0,1
1097,4,2015-07-30,10324,2346,1,1,0,1
1109,4,2015-07-30,5520,466,1,1,0,0
11,3,2015-07-29,8378,1064,1,1,0,1
32,3,2015-07-29,4869,508,1,1,0,0
45,3,2015-07-29,5341,387,1,1,0,1
52,3,2015-07-29,7584,472,1,1,0,0
57,3,2015-07-29,10245,907,1,1,0,1
71,3,2015-07-29,8806,651,1,1,0,1
87,3,2015-07-29,6078,785,1,1,0,1
89,3,2015-07-29,6658,634,1,1,0,0
97,3,2015-07-29,7446,635,1,1,0,1
102,3,2015-07-29,7126,933,1,1,0,1
110,3,2015-07-29,6045,707,1,1,0,1
114,3,2015-07-29,5812,592,1,1,0,1
129,3,2015-07-29,8866,1107,1,1,0,0
193,3,2015-07-29,6620,946,1,1,0,0
209,3,2015-07-29,7171,678,1,1,0,1
211,3,2015-07-29,14796,1440,1,1,0,1
219,3,2015-07-29,3251,411,1,1,0,1
221,3,2015-07-29,7003,552,1,1,0,1
232,3,2015-07-29,4495,369,1,1,0,1
266,3,2015-07-29,4876,502,1,1,0,1
275,3,2015-07-29,7534,680,1,1,0,0
276,3,2015-07-29,3944,476,1,1,0,1
290,3,2015-07-29,6806,560,1,1,0,1
293,3,2015-07-29,6295,746,1,1,0,1
297,3,2015-07-29,9507,823,1,1,0,0
307,3,2015-07-29,3129,301,1,1,0,1
319,3,2015-07-29,8039,757,1,1,0,1
320,3,2015-07-29,16304,2035,1,1,0,1
324,3,2015-07-29,5400,616,1,1,0,1
333,3,2015-07-29,10175,1134,1,1,0,1
347,3,2015-07-29,5735,402,1,1,0,0
355,3,2015-07-29,9290,1029,1,1,0,1
356,3,2015-07-29,6837,456,1,1,0,0
362,3,2015-07-29,10191,1219,1,1,0,1
366,3,2015-07-29,6350,555,1,1,0,1
368,3,2015-07-29,13674,851,1,1,0,0
372,3,2015-07-29,10047,733,1,1,0,1
381,3,2015-07-29,9999,941,1,1,0,1
382,3,2015-07-29,8646,619,1,1,0,1
399,3,2015-07-29,6440,553,1,1,0,0
429,3,2015-07-29,6049,435,1,1,0,0
436,3,2015-07-29,5681,576,1,1,0,1
452,3,2015-07-29,5888,448,1,1,0,1
468,3,2015-07-29,8066,792,1,1,0,1
478,3,2015-07-29,7358,679,1,1,0,1
495,3,2015-07-29,7004,458,1,1,0,0
526,3,2015-07-29,12448,1416,1,1,0,1
529,3,2015-07-29,8296,712,1,1,0,1
530,3,2015-07-29,9047,1375,1,1,0,1
540,3,2015-07-29,8984,541,1,1,0,0
546,3,2015-07-29,13039,1484,1,1,0,1
582,3,2015-07-29,6519,720,1,1,0,1
594,3,2015-07-29,4807,495,1,1,0,1
595,3,2015-07-29,13934,1592,1,1,0,1
597,3,2015-07-29,6087,793,1,1,0,1
602,3,2015-07-29,6695,612,1,1,0,1
622,3,2015-07-29,5326,468,1,1,0,1
662,3,2015-07-29,8091,675,1,1,0,1
678,3,2015-07-29,7789,751,1,1,0,1
701,3,2015-07-29,8070,697,1,1,0,0
728,3,2015-07-29,5992,448,1,1,0,0
742,3,2015-07-29,8765,808,1,1,0,1
756,3,2015-07-29,16762,2162,1,1,0,1
766,3,2015-07-29,8180,658,1,1,0,0
782,3,2015-07-29,6150,507,1,1,0,1
783,3,2015-07-29,6916,621,1,1,0,1
793,3,2015-07-29,5823,485,1,1,0,1
799,3,2015-07-29,10092,828,1,1,0,1
811,3,2015-07-29,4334,701,1,1,0,1
812,3,2015-07-29,6747,764,1,1,0,1
815,3,2015-07-29,6604,583,1,1,0,0
823,3,2015-07-29,6685,576,1,1,0,1
825,3,2015-07-29,5633,598,1,1,0,0
831,3,2015-07-29,14535,1569,1,1,0,1
843,3,2015-07-29,8730,962,1,1,0,1
845,3,2015-07-29,5313,321,1,1,0,1
849,3,2015-07-29,9502,874,1,1,0,1
875,3,2015-07-29,4936,415,1,1,0,1
881,3,2015-07-29,4369,615,1,1,0,1
895,3,2015-07-29,11259,922,1,1,0,0
897,3,2015-07-29,3498,337,1,1,0,1
903,3,2015-07-29,13460,877,1,1,0,0
904,3,2015-07-29,6429,481,1,1,0,0
936,3,2015-07-29,6790,824,1,1,0,1
951,3,2015-07-29,7835,619,1,1,0,1
963,3,2015-07-29,12594,993,1,1,0,1
973,3,2015-07-29,6838,737,1,1,0,1
983,3,2015-07-29,9776,1191,1,1,0,1
984,3,2015-07-29,7979,813,1,1,0,1
988,3,2015-07-29,4522,689,1,1,0,1
993,3,2015-07-29,8184,685,1,1,0,1
1020,3,2015-07-29,8827,983,1,1,0,1
1029,3,2015-07-29,5219,739,1,1,0,1
1041,3,2015-07-29,7141,668,1,1,0,0
1046,3,2015-07-29,9427,681,1,1,0,1
1067,3,2015-07-29,6999,554,1,1,0,0
1070,3,2015-07-29,8697,906,1,1,0,1
1088,3,2015-07-29,5474,484,1,1,0,1
1097,3,2015-07-29,10053,2296,1,1,0,1
1109,3,2015-07-29,6212,500,1,1,0,0
11,2,2015-07-28,6938,938,1,1,0,1
32,2,2015-07-28,5679,586,1,1,0,0
45,2,2015-07-28,5504,365,1,1,0,1
52,2,2015-07-28,7787,450,1,1,0,0
57,2,2015-07-28,11248,957,1,1,0,1
71,2,2015-07-28,11661,780,1,1,0,1
87,2,2015-07-28,6964,770,1,1,0,1
89,2,2015-07-28,7313,702,1,1,0,0
97,2,2015-07-28,8359,733,1,1,0,1
102,2,2015-07-28,8761,1045,1,1,0,1
110,2,2015-07-28,6558,741,1,1,0,1
114,2,2015-07-28,6537,649,1,1,0,1
129,2,2015-07-28,10171,1295,1,1,0,0
193,2,2015-07-28,7871,981,1,1,0,0
209,2,2015-07-28,7521,706,1,1,0,1
211,2,2015-07-28,17134,1629,1,1,0,1
219,2,2015-07-28,3692,442,1,1,0,1
221,2,2015-07-28,6929,563,1,1,0,1
232,2,2015-07-28,4237,346,1,1,0,1
266,2,2015-07-28,4940,551,1,1,0,1
275,2,2015-07-28,8432,732,1,1,0,0
276,2,2015-07-28,4718,540,1,1,0,1
290,2,2015-07-28,7957,680,1,1,0,1
293,2,2015-07-28,7171,842,1,1,0,1
297,2,2015-07-28,10124,887,1,1,0,0
307,2,2015-07-28,3687,389,1,1,0,1
319,2,2015-07-28,7034,661,1,1,0,1
320,2,2015-07-28,17080,2095,1,1,0,1
324,2,2015-07-28,7777,844,1,1,0,1
333,2,2015-07-28,11215,1233,1,1,0,1
347,2,2015-07-28,5469,437,1,1,0,0
355,2,2015-07-28,10122,1088,1,1,0,1
356,2,2015-07-28,6826,480,1,1,0,0
362,2,2015-07-28,11703,1295,1,1,0,1
366,2,2015-07-28,7249,669,1,1,0,1
368,2,2015-07-28,12868,829,1,1,0,0
372,2,2015-07-28,9644,753,1,1,0,1
381,2,2015-07-28,11280,1071,1,1,0,1
382,2,2015-07-28,8884,667,1,1,0,1
399,2,2015-07-28,7995,674,1,1,0,0
429,2,2015-07-28,5510,392,1,1,0,0
436,2,2015-07-28,6372,682,1,1,0,1
452,2,2015-07-28,5896,473,1,1,0,1
468,2,2015-07-28,9032,836,1,1,0,1
478,2,2015-07-28,7958,727,1,1,0,1
495,2,2015-07-28,7196,464,1,1,0,0
526,2,2015-07-28,14180,1613,1,1,0,1
529,2,2015-07-28,7912,652,1,1,0,1
530,2,2015-07-28,9044,1418,1,1,0,1
540,2,2015-07-28,10056,564,1,1,0,0
546,2,2015-07-28,14902,1654,1,1,0,1
582,2,2015-07-28,8165,875,1,1,0,1
594,2,2015-07-28,4655,512,1,1,0,1
595,2,2015-07-28,15838,1621,1,1,0,1
597,2,2015-07-28,6642,820,1,1,0,1
602,2,2015-07-28,8159,698,1,1,0,1
622,2,2015-07-28,4966,417,1,1,0,1
662,2,2015-07-28,9270,719,1,1,0,1
678,2,2015-07-28,7615,771,1,1,0,1
701,2,2015-07-28,8272,720,1,1,0,0
728,2,2015-07-28,6622,489,1,1,0,0
742,2,2015-07-28,8763,860,1,1,0,1
756,2,2015-07-28,18939,2297,1,1,0,1
766,2,2015-07-28,7687,598,1,1,0,0
782,2,2015-07-28,6485,550,1,1,0,1
783,2,2015-07-28,7077,641,1,1,0,1
793,2,2015-07-28,6147,491,1,1,0,1
799,2,2015-07-28,10571,902,1,1,0,1
811,2,2015-07-28,5023,762,1,1,0,1
812,2,2015-07-28,8134,871,1,1,0,1
815,2,2015-07-28,7908,680,1,1,0,0
823,2,2015-07-28,6483,562,1,1,0,1
825,2,2015-07-28,6319,668,1,1,0,0
831,2,2015-07-28,14804,1612,1,1,0,1
843,2,2015-07-28,10289,1058,1,1,0,1
845,2,2015-07-28,6134,411,1,1,0,1
849,2,2015-07-28,9939,939,1,1,0,1
875,2,2015-07-28,6044,453,1,1,0,1
881,2,2015-07-28,4632,608,1,1,0,1
895,2,2015-07-28,12871,1022,1,1,0,0
897,2,2015-07-28,3450,339,1,1,0,1
903,2,2015-07-28,13399,861,1,1,0,0
904,2,2015-07-28,6997,539,1,1,0,0
936,2,2015-07-28,7724,906,1,1,0,1
951,2,2015-07-28,8296,661,1,1,0,1
963,2,2015-07-28,17021,1403,1,1,0,1
973,2,2015-07-28,7206,792,1,1,0,1
983,2,2015-07-28,10132,1188,1,1,0,1
984,2,2015-07-28,8737,898,1,1,0,1
988,2,2015-07-28,4592,705,1,1,0,1
993,2,2015-07-28,9491,823,1,1,0,1
1020,2,2015-07-28,9263,1027,1,1,0,1
1029,2,2015-07-28,6386,818,1,1,0,1
1041,2,2015-07-28,7512,701,1,1,0,0
1046,2,2015-07-28,9768,707,1,1,0,1
1067,2,2015-07-28,7166,586,1,1,0,0
1070,2,2015-07-28,9263,989,1,1,0,1
1088,2,2015-07-28,5933,484,1,1,0,1
1097,2,2015-07-28,10225,2334,1,1,0,1
1109,2,2015-07-28,6478,543,1,1,0,0
11,1,2015-07-27,8796,1070,1,1,0,1
32,1,2015-07-27,5947,585,1,1,0,0
45,1,2015-07-27,7450,500,1,1,0,1
52,1,2015-07-27,9118,508,1,1,0,0
57,1,2015-07-27,14080,1178,1,1,0,1
71,1,2015-07-27,12920,844,1,1,0,1
87,1,2015-07-27,8403,941,1,1,0,1
89,1,2015-07-27,8335,794,1,1,0,0
97,1,2015-07-27,10538,865,1,1,0,1
102,1,2015-07-27,9168,1107,1,1,0,1
110,1,2015-07-27,7729,855,1,1,0,1
114,1,2015-07-27,7610,713,1,1,0,1
129,1,2015-07-27,11684,1304,1,1,0,0
193,1,2015-07-27,8847,1032,1,1,0,0
209,1,2015-07-27,10640,945,1,1,0,1
211,1,2015-07-27,20013,1852,1,1,0,1
219,1,2015-07-27,4037,452,1,1,0,1
221,1,2015-07-27,8831,648,1,1,0,1
232,1,2015-07-27,5436,392,1,1,0,1
266,1,2015-07-27,5485,581,1,1,0,1
275,1,2015-07-27,9785,834,1,1,0,0
276,1,2015-07-27,5015,546,1,1,0,1
290,1,2015-07-27,9559,780,1,1,0,1
293,1,2015-07-27,8227,946,1,1,0,1
297,1,2015-07-27,11422,960,1,1,0,0
307,1,2015-07-27,3982,345,1,1,0,1
319,1,2015-07-27,9041,812,1,1,0,1
320,1,2015-07-27,21337,2397,1,1,0,1
324,1,2015-07-27,7421,739,1,1,0,1
333,1,2015-07-27,11511,1259,1,1,0,1
347,1,2015-07-27,7153,485,1,1,0,0
355,1,2015-07-27,11581,1191,1,1,0,1
356,1,2015-07-27,7930,543,1,1,0,0
362,1,2015-07-27,13639,1408,1,1,0,1
366,1,2015-07-27,9385,748,1,1,0,1
368,1,2015-07-27,18878,1061,1,1,0,0
372,1,2015-07-27,12463,871,1,1,0,1
381,1,2015-07-27,12086,1052,1,1,0,1
382,1,2015-07-27,13274,878,1,1,0,1
399,1,2015-07-27,8415,714,1,1,0,0
429,1,2015-07-27,7494,529,1,1,0,0
436,1,2015-07-27,7701,751,1,1,0,1
452,1,2015-07-27,7881,590,1,1,0,1
468,1,2015-07-27,9642,919,1,1,0,1
478,1,2015-07-27,9334,811,1,1,0,1
495,1,2015-07-27,9118,576,1,1,0,0
526,1,2015-07-27,15053,1654,1,1,0,1
529,1,2015-07-27,11164,913,1,1,0,1
530,1,2015-07-27,10413,1568,1,1,0,1
540,1,2015-07-27,11297,640,1,1,0,0
546,1,2015-07-27,14939,1666,1,1,0,1
582,1,2015-07-27,9184,930,1,1,0,1
594,1,2015-07-27,5384,533,1,1,0,1
595,1,2015-07-27,17596,1840,1,1,0,1
597,1,2015-07-27,6930,861,1,1,0,1
602,1,2015-07-27,8202,692,1,1,0,1
622,1,2015-07-27,5413,517,1,1,0,1
662,1,2015-07-27,11384,903,1,1,0,1
678,1,2015-07-27,9461,924,1,1,0,1
701,1,2015-07-27,10123,828,1,1,0,0
728,1,2015-07-27,6583,511,1,1,0,0
742,1,2015-07-27,11014,1009,1,1,0,1
756,1,2015-07-27,20328,2400,1,1,0,1
766,1,2015-07-27,9787,689,1,1,0,0
782,1,2015-07-27,7308,600,1,1,0,1
783,1,2015-07-27,9722,772,1,1,0,1
793,1,2015-07-27,8370,652,1,1,0,1
799,1,2015-07-27,11902,946,1,1,0,1
811,1,2015-07-27,5779,830,1,1,0,1
812,1,2015-07-27,9062,946,1,1,0,1
815,1,2015-07-27,8201,712,1,1,0,0
823,1,2015-07-27,8013,658,1,1,0,1
825,1,2015-07-27,7294,731,1,1,0,0
831,1,2015-07-27,17912,1987,1,1,0,1
843,1,2015-07-27,11216,1172,1,1,0,1
845,1,2015-07-27,6557,414,1,1,0,1
849,1,2015-07-27,11913,1070,1,1,0,1
875,1,2015-07-27,6707,525,1,1,0,1
881,1,2015-07-27,5466,637,1,1,0,1
895,1,2015-07-27,15392,1158,1,1,0,0
897,1,2015-07-27,3953,396,1,1,0,1
903,1,2015-07-27,15839,1012,1,1,0,0
904,1,2015-07-27,7764,577,1,1,0,0
936,1,2015-07-27,9213,967,1,1,0,1
951,1,2015-07-27,10516,823,1,1,0,1
963,1,2015-07-27,18785,1386,1,1,0,1
973,1,2015-07-27,9471,922,1,1,0,1
983,1,2015-07-27,12096,1291,1,1,0,1
984,1,2015-07-27,10770,956,1,1,0,1
988,1,2015-07-27,6011,812,1,1,0,1
993,1,2015-07-27,11780,949,1,1,0,1
1020,1,2015-07-27,10029,1060,1,1,0,1
1029,1,2015-07-27,6320,794,1,1,0,1
1041,1,2015-07-27,7409,757,1,1,0,0
1046,1,2015-07-27,13815,930,1,1,0,1
1067,1,2015-07-27,8716,644,1,1,0,0
1070,1,2015-07-27,11410,1126,1,1,0,1
1088,1,2015-07-27,6984,547,1,1,0,1
1097,1,2015-07-27,10874,2357,1,1,0,1
1109,1,2015-07-27,8082,622,1,1,0,0
11,7,2015-07-26,0,0,0,0,0,0
32,7,2015-07-26,0,0,0,0,0,0
45,7,2015-07-26,0,0,0,0,0,0
52,7,2015-07-26,0,0,0,0,0,0
57,7,2015-07-26,0,0,0,0,0,0
71,7,2015-07-26,0,0,0,0,0,0
87,7,2015-07-26,0,0,0,0,0,0
89,7,2015-07-26,0,0,0,0,0,0
97,7,2015-07-26,0,0,0,0,0,0
102,7,2015-07-26,0,0,0,0,0,0
110,7,2015-07-26,0,0,0,0,0,0
114,7,2015-07-26,0,0,0,0,0,0
129,7,2015-07-26,0,0,0,0,0,0
193,7,2015-07-26,0,0,0,0,0,0
209,7,2015-07-26,3742,354,1,0,0,0
211,7,2015-07-26,0,0,0,0,0,0
219,7,2015-07-26,0,0,0,0,0,0
221,7,2015-07-26,0,0,0,0,0,0
232,7,2015-07-26,0,0,0,0,0,0
266,7,2015-07-26,0,0,0,0,0,0
275,7,2015-07-26,0,0,0,0,0,0
276,7,2015-07-26,0,0,0,0,0,0
290,7,2015-07-26,0,0,0,0,0,0
293,7,2015-07-26,0,0,0,0,0,0
297,7,2015-07-26,0,0,0,0,0,0
307,7,2015-07-26,0,0,0,0,0,0
319,7,2015-07-26,0,0,0,0,0,0
320,7,2015-07-26,0,0,0,0,0,0
324,7,2015-07-26,0,0,0,0,0,0
333,7,2015-07-26,0,0,0,0,0,0
347,7,2015-07-26,0,0,0,0,0,0
355,7,2015-07-26,0,0,0,0,0,0
356,7,2015-07-26,0,0,0,0,0,0
362,7,2015-07-26,0,0,0,0,0,0
366,7,2015-07-26,0,0,0,0,0,0
368,7,2015-07-26,0,0,0,0,0,0
372,7,2015-07-26,0,0,0,0,0,0
381,7,2015-07-26,0,0,0,0,0,0
382,7,2015-07-26,0,0,0,0,0,0
399,7,2015-07-26,0,0,0,0,0,0
429,7,2015-07-26,0,0,0,0,0,0
436,7,2015-07-26,0,0,0,0,0,0
452,7,2015-07-26,0,0,0,0,0,0
468,7,2015-07-26,0,0,0,0,0,0
478,7,2015-07-26,0,0,0,0,0,0
495,7,2015-07-26,0,0,0,0,0,0
526,7,2015-07-26,0,0,0,0,0,0
529,7,2015-07-26,0,0,0,0,0,0
530,7,2015-07-26,6595,1152,1,0,0,0
540,7,2015-07-26,0,0,0,0,0,0
546,7,2015-07-26,0,0,0,0,0,0
582,7,2015-07-26,0,0,0,0,0,0
594,7,2015-07-26,0,0,0,0,0,0
595,7,2015-07-26,0,0,0,0,0,0
597,7,2015-07-26,0,0,0,0,0,0
602,7,2015-07-26,0,0,0,0,0,0
622,7,2015-07-26,0,0,0,0,0,0
662,7,2015-07-26,0,0,0,0,0,1
678,7,2015-07-26,0,0,0,0,0,0
701,7,2015-07-26,0,0,0,0,0,0
728,7,2015-07-26,0,0,0,0,0,0
742,7,2015-07-26,0,0,0,0,0,0
756,7,2015-07-26,0,0,0,0,0,0
766,7,2015-07-26,0,0,0,0,0,0
782,7,2015-07-26,0,0,0,0,0,0
783,7,2015-07-26,0,0,0,0,0,0
793,7,2015-07-26,0,0,0,0,0,0
799,7,2015-07-26,0,0,0,0,0,0
811,7,2015-07-26,0,0,0,0,0,0
812,7,2015-07-26,0,0,0,0,0,0
815,7,2015-07-26,0,0,0,0,0,0
823,7,2015-07-26,0,0,0,0,0,0
825,7,2015-07-26,0,0,0,0,0,0
831,7,2015-07-26,0,0,0,0,0,0
843,7,2015-07-26,0,0,0,0,0,0
845,7,2015-07-26,0,0,0,0,0,0
