Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
355,a,c,9720.0,8.0,2013.0,0,,,
356,d,c,8970.0,12.0,2007.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
362,c,c,340.0,,,0,,,
366,d,c,6470.0,12.0,2004.0,0,,,
368,d,c,1450.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
372,d,c,4880.0,8.0,2010.0,1,18.0,2014.0,"Jan,Apr,Jul,Oct"
381,a,a,1800.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
382,c,c,26130.0,11.0,2002.0,0,,,
399,a,a,5360.0,9.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
429,d,c,16350.0,7.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
436,d,a,2300.0,,,0,,,
452,a,c,1850.0,8.0,2013.0,1,5.0,2011.0,"Feb,May,Aug,Nov"
468,c,c,5260.0,9.0,2012.0,0,,,
478,d,c,1940.0,3.0,2012.0,0,,,
495,d,a,5470.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
526,a,a,120.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
529,d,c,12920.0,9.0,2012.0,0,,,
530,a,c,18160.0,,,0,,,
540,d,c,810.0,,,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
546,a,a,580.0,1.0,2005.0,0,,,
582,a,a,120.0,,,0,,,
594,a,a,1790.0,10.0,2011.0,0,,,
595,c,c,1130.0,6.0,2015.0,0,,,
597,a,a,150.0,9.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
602,a,a,2710.0,7.0,2001.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
622,a,c,,,,0,,,
662,d,a,1070.0,,,0,,,
678,c,a,3250.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
701,d,a,1450.0,3.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
728,d,a,13990.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
742,d,c,4380.0,,,0,,,
756,a,c,50.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
766,d,c,9820.0,,,0,,,
782,c,c,5390.0,8.0,2003.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
783,d,c,15490.0,,,0,,,
793,d,a,2710.0,7.0,2006.0,0,,,
799,a,c,2700.0,,,0,,,
811,a,a,410.0,9.0,2012.0,0,,,
812,d,a,2590.0,9.0,2012.0,0,,,
815,a,a,590.0,1.0,1900.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
823,a,c,16210.0,11.0,2010.0,0,,,
825,a,a,380.0,5.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
831,a,a,800.0,6.0,2007.0,0,,,
843,c,a,60.0,4.0,2006.0,0,,,
845,d,a,7860.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
849,c,c,5000.0,,,0,,,
875,d,a,5070.0,11.0,2007.0,1,18.0,2015.0,"Feb,May,Aug,Nov"
881,a,a,180.0,3.0,2008.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
895,a,c,4150.0,,,0,,,
897,c,c,3290.0,1.0,2007.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
903,d,c,7290.0,9.0,2014.0,0,,,
904,d,c,570.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
936,a,a,580.0,2.0,2008.0,0,,,
951,d,c,710.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
963,a,c,23620.0,11.0,2013.0,0,,,
973,d,c,330.0,,,1,28.0,2012.0,"Jan,Apr,Jul,Oct"
983,a,a,40.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
984,c,a,440.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
988,a,a,30.0,11.0,2012.0,0,,,
993,d,c,3460.0,10.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
1020,a,a,40.0,8.0,2015.0,0,,,
1029,a,a,1590.0,3.0,2006.0,0,,,
1041,c,a,1600.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
1046,d,c,29070.0,4.0,2005.0,0,,,
1067,d,c,12020.0,7.0,2009.0,0,,,
1070,c,c,400.0,10.0,2008.0,0,,,
1088,a,a,4300.0,3.0,2009.0,1,27.0,2013.0,"Jan,Apr,Jul,Oct"
1097,b,b,720.0,3.0,2002.0,0,,,
1109,c,a,3490.0,4.0,2011.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
